X,Y,Z,Label
0.0,0.0,1000.0,CL
1.0,0.113,1000.183,CL
2.0,0.226,1000.389,CL
3.0,0.338,1000.604,CL
4.0,0.45,1000.902,CL
5.0,0.56,1001.104,CL
6.0,0.67,1001.286,CL
7.0,0.778,1001.374,CL
8.0,0.884,1001.523,CL
9.0,0.989,1001.657,CL
10.0,1.092,1001.767,CL
11.0,1.192,1001.828,CL
12.0,1.291,1001.908,CL
13.0,1.386,1001.9,CL
14.0,1.479,1001.923,CL
15.0,1.568,1001.936,CL
16.0,1.655,1001.967,CL
17.0,1.738,1001.933,CL
18.0,1.817,1001.916,CL
19.0,1.893,1001.89,CL
20.0,1.965,1001.853,CL
21.0,2.032,1001.807,CL
22.0,2.096,1001.752,CL
23.0,2.156,1001.728,CL
24.0,2.211,1001.614,CL
25.0,2.261,1001.508,CL
26.0,2.307,1001.364,CL
27.0,2.348,1001.199,CL
28.0,2.385,1001.017,CL
29.0,2.416,1000.812,CL
30.0,2.443,1000.589,CL
31.0,2.464,1000.354,CL
32.0,2.481,1000.11,CL
33.0,2.492,999.867,CL
34.0,2.499,999.635,CL
35.0,2.5,999.431,CL
36.0,2.496,999.267,CL
37.0,2.487,999.142,CL
38.0,2.473,999.056,CL
39.0,2.454,999.007,CL
40.0,2.43,998.99,CL
41.0,2.401,999.005,CL
42.0,2.367,999.051,CL
43.0,2.328,999.345,CL
44.0,2.285,999.212,CL
45.0,2.236,999.553,CL
46.0,2.184,999.249,CL
47.0,2.126,999.419,CL
48.0,2.065,999.12,CL
49.0,1.999,999.315,CL
50.0,1.929,999.027,CL
51.0,1.855,998.996,CL
52.0,1.778,999.225,CL
53.0,1.696,998.963,CL
54.0,1.612,998.961,CL
55.0,1.524,998.969,CL
56.0,1.433,998.987,CL
57.0,1.339,999.015,CL
58.0,1.242,999.051,CL
59.0,1.143,999.102,CL
60.0,1.041,999.003,CL
61.0,0.937,998.875,CL
62.0,0.831,998.769,CL
63.0,0.724,998.688,CL
64.0,0.615,998.635,CL
65.0,0.505,998.613,CL
66.0,0.394,998.623,CL
67.0,0.282,998.67,CL
68.0,0.169,998.754,CL
69.0,0.056,998.921,CL
70.0,-0.056,999.045,CL
71.0,-0.169,999.243,CL
72.0,-0.282,999.456,CL
73.0,-0.394,999.673,CL
74.0,-0.505,999.883,CL
75.0,-0.615,1000.081,CL
76.0,-0.724,1000.262,CL
77.0,-0.831,1000.424,CL
78.0,-0.937,1000.566,CL
79.0,-1.041,1000.688,CL
80.0,-1.143,1000.779,CL
81.0,-1.242,1000.824,CL
82.0,-1.339,1000.86,CL
83.0,-1.433,1000.882,CL
84.0,-1.524,1000.9,CL
85.0,-1.612,1000.878,CL
86.0,-1.696,1000.907,CL
87.0,-1.778,1000.895,CL
88.0,-1.855,1000.873,CL
89.0,-1.929,1000.842,CL
90.0,-1.999,1000.801,CL
91.0,-2.065,1000.714,CL
92.0,-2.126,1000.69,CL
93.0,-2.184,1000.621,CL
94.0,-2.236,1000.543,CL
95.0,-2.285,1000.406,CL
96.0,-2.328,1000.25,CL
97.0,-2.367,1000.003,CL
98.0,-2.401,999.877,CL
99.0,-2.43,999.66,CL
100.0,-2.454,999.43,CL
101.0,-2.473,999.19,CL
102.0,-2.487,998.945,CL
103.0,-2.496,998.706,CL
104.0,-2.5,998.486,CL
105.0,-2.499,998.301,CL
106.0,-2.492,998.157,CL
107.0,-2.481,998.052,CL
108.0,-2.464,997.985,CL
109.0,-2.443,997.952,CL
