X,Y,Z,Label
0.0,-3.772,500.933,CL
0.2,-3.774,500.679,CL
0.4,-3.779,500.686,CL
0.6,-3.785,500.692,CL
0.8,-3.792,500.696,CL
1.0,-3.8,500.698,CL
1.2,-3.809,500.698,CL
1.4,-3.819,500.696,CL
1.6,-3.83,500.693,CL
1.8,-3.842,500.687,CL
2.0,-3.855,500.681,CL
2.2,-3.87,500.673,CL
2.4,-3.886,500.663,CL
2.6,-3.902,500.707,CL
2.8,-3.92,500.698,CL
3.0,-3.939,500.688,CL
3.2,-3.959,500.679,CL
3.4,-3.98,500.668,CL
3.6,-4.001,500.657,CL
3.8,-4.024,500.646,CL
4.0,-4.047,500.634,CL
4.2,-4.071,500.623,CL
4.4,-4.095,500.612,CL
4.6,-4.121,500.601,CL
4.8,-4.146,500.59,CL
5.0,-4.172,500.58,CL
5.2,-4.199,500.57,CL
5.4,-4.226,500.562,CL
5.6,-4.253,500.55,CL
5.8,-4.28,500.539,CL
6.0,-4.308,500.528,CL
6.2,-4.335,500.519,CL
6.4,-4.363,500.51,CL
6.6,-4.391,500.502,CL
6.8,-4.419,500.494,CL
7.0,-4.446,500.487,CL
7.2,-4.474,500.481,CL
7.4,-4.502,500.476,CL
7.6,-4.529,500.472,CL
7.8,-4.557,500.468,CL
8.0,-4.584,500.511,CL
8.2,-4.612,500.513,CL
8.4,-4.639,500.516,CL
8.6,-4.667,500.52,CL
8.8,-4.694,500.523,CL
9.0,-4.722,500.526,CL
9.2,-4.749,500.53,CL
9.4,-4.776,500.533,CL
9.6,-4.804,500.537,CL
9.8,-4.831,500.541,CL
10.0,-4.859,500.544,CL
10.2,-4.887,500.548,CL
10.4,-4.915,500.551,CL
10.6,-4.943,500.552,CL
10.8,-4.971,500.55,CL
11.0,-5.0,500.547,CL
11.2,-5.028,500.544,CL
11.4,-5.057,500.54,CL
11.6,-5.087,500.536,CL
11.8,-5.116,500.531,CL
12.0,-5.146,500.526,CL
12.2,-5.176,500.521,CL
12.4,-5.206,500.515,CL
12.6,-5.237,500.508,CL
12.8,-5.267,500.502,CL
13.0,-5.299,500.494,CL
13.2,-5.33,500.555,CL
13.4,-5.362,500.552,CL
13.6,-5.393,500.55,CL
13.8,-5.426,500.547,CL
14.0,-5.458,500.544,CL
14.2,-5.49,500.541,CL
14.4,-5.523,500.537,CL
14.6,-5.556,500.533,CL
14.8,-5.589,500.529,CL
15.0,-5.622,500.525,CL
15.2,-5.655,500.52,CL
15.4,-5.688,500.517,CL
15.6,-5.722,500.512,CL
15.8,-5.755,500.506,CL
16.0,-5.788,500.494,CL
16.2,-5.822,500.482,CL
16.4,-5.855,500.47,CL
16.6,-5.888,500.459,CL
16.8,-5.922,500.449,CL
17.0,-5.955,500.439,CL
17.2,-5.988,500.429,CL
17.4,-6.021,500.419,CL
17.6,-6.053,500.409,CL
17.8,-6.086,500.4,CL
18.0,-6.118,500.392,CL
18.2,-6.15,500.384,CL
18.4,-6.182,500.376,CL
18.6,-6.214,500.368,CL
18.8,-6.245,500.361,CL
19.0,-6.276,500.354,CL
19.2,-6.307,500.413,CL
19.4,-6.338,500.41,CL
19.6,-6.368,500.407,CL
19.8,-6.398,500.404,CL
20.0,-6.428,500.401,CL
20.2,-6.457,500.399,CL
20.4,-6.487,500.397,CL
20.6,-6.515,500.395,CL
20.8,-6.544,500.394,CL
21.0,-6.572,500.393,CL
21.2,-6.6,500.392,CL
21.4,-6.627,500.392,CL
21.6,-6.654,500.392,CL
21.8,-6.681,500.392,CL
22.0,-6.708,500.393,CL
22.2,-6.734,500.395,CL
22.4,-6.76,500.396,CL
22.6,-6.786,500.398,CL
22.8,-6.811,500.401,CL
23.0,-6.837,500.403,CL
23.2,-6.862,500.405,CL
23.4,-6.886,500.408,CL
23.6,-6.911,500.412,CL
23.8,-6.935,500.415,CL
24.0,-6.96,500.418,CL
24.2,-6.984,500.42,CL
24.4,-7.008,500.423,CL
24.6,-7.032,500.425,CL
24.8,-7.055,500.427,CL
25.0,-7.079,500.428,CL
25.2,-7.103,500.428,CL
25.4,-7.126,500.428,CL
25.6,-7.149,500.426,CL
25.8,-7.173,500.424,CL
26.0,-7.196,500.421,CL
26.2,-7.219,500.416,CL
26.4,-7.243,500.41,CL
26.6,-7.266,500.402,CL
26.8,-7.289,500.394,CL
27.0,-7.312,500.384,CL
27.2,-7.335,500.372,CL
27.4,-7.357,500.359,CL
27.6,-7.38,500.344,CL
27.8,-7.402,500.329,CL
28.0,-7.424,500.313,CL
28.2,-7.446,500.296,CL
28.4,-7.467,500.279,CL
28.6,-7.488,500.261,CL
28.8,-7.508,500.244,CL
29.0,-7.528,500.227,CL
29.2,-7.547,500.21,CL
29.4,-7.566,500.194,CL
29.6,-7.583,500.179,CL
29.8,-7.6,500.166,CL
30.0,-7.616,500.153,CL
30.2,-7.631,500.137,CL
30.4,-7.644,500.13,CL
30.6,-7.657,500.125,CL
30.8,-7.668,500.121,CL
31.0,-7.678,500.118,CL
31.2,-7.686,500.117,CL
31.4,-7.692,500.118,CL
31.6,-7.697,500.12,CL
31.8,-7.7,500.123,CL
32.0,-7.701,500.128,CL
32.2,-7.7,500.136,CL
32.4,-7.698,500.139,CL
32.6,-7.692,500.136,CL
32.8,-7.685,500.134,CL
33.0,-7.675,500.131,CL
33.2,-7.663,500.128,CL
33.4,-7.649,500.124,CL
33.6,-7.632,500.121,CL
33.8,-7.612,500.117,CL
34.0,-7.589,500.113,CL
34.2,-7.564,500.109,CL
34.4,-7.537,500.105,CL
34.6,-7.506,500.101,CL
34.8,-7.473,500.096,CL
35.0,-7.436,500.091,CL
35.2,-7.397,500.086,CL
35.4,-7.355,500.081,CL
35.6,-7.31,500.075,CL
35.8,-7.263,500.069,CL
36.0,-7.212,500.063,CL
36.2,-7.158,500.057,CL
36.4,-7.102,500.078,CL
36.6,-7.043,500.073,CL
36.8,-6.98,500.069,CL
37.0,-6.915,500.064,CL
37.2,-6.848,500.059,CL
37.4,-6.777,500.054,CL
37.6,-6.703,500.049,CL
37.8,-6.627,500.044,CL
38.0,-6.548,500.038,CL
38.2,-6.467,500.033,CL
38.4,-6.382,500.017,CL
38.6,-6.295,499.999,CL
38.8,-6.206,499.982,CL
39.0,-6.114,499.966,CL
39.2,-6.019,499.95,CL
39.4,-5.922,499.934,CL
39.6,-5.823,499.919,CL
39.8,-5.721,499.905,CL
40.0,-5.617,499.911,CL
40.2,-5.51,499.898,CL
40.4,-5.402,499.886,CL
40.6,-5.291,499.873,CL
40.8,-5.177,499.861,CL
41.0,-5.062,499.849,CL
41.2,-4.944,499.835,CL
41.4,-4.824,499.819,CL
41.6,-4.703,499.804,CL
41.8,-4.579,499.789,CL
42.0,-4.453,499.774,CL
42.2,-4.325,499.76,CL
42.4,-4.195,499.757,CL
42.6,-4.064,499.744,CL
42.8,-3.93,499.731,CL
43.0,-3.794,499.717,CL
