X,Y,Z,Label
0.0,0.0,500.56,CL
0.2,0.0,500.555,CL
0.4,0.0,500.55,CL
0.6,0.0,500.545,CL
0.8,0.0,500.54,CL
1.0,0.0,500.535,CL
1.2,0.0,500.53,CL
1.4,0.0,500.526,CL
1.6,0.0,500.521,CL
1.8,0.0,500.516,CL
2.0,0.0,500.511,CL
2.2,0.0,500.507,CL
2.4,0.0,500.502,CL
2.6,0.0,500.537,CL
2.8,0.0,500.533,CL
3.0,0.0,500.528,CL
3.2,0.0,500.523,CL
3.4,0.0,500.519,CL
3.6,0.0,500.514,CL
3.8,0.0,500.51,CL
4.0,0.0,500.505,CL
4.2,0.0,500.5,CL
4.4,0.0,500.496,CL
4.6,0.0,500.491,CL
4.8,0.0,500.487,CL
5.0,0.0,500.482,CL
5.2,0.0,500.478,CL
5.4,0.0,500.473,CL
5.6,0.0,500.469,CL
5.8,0.0,500.464,CL
6.0,0.0,500.46,CL
6.2,0.0,500.455,CL
6.4,0.0,500.451,CL
6.6,0.0,500.446,CL
6.8,0.0,500.442,CL
7.0,0.0,500.437,CL
7.2,0.0,500.433,CL
7.4,0.0,500.428,CL
7.6,0.0,500.424,CL
7.8,0.0,500.472,CL
8.0,0.0,500.468,CL
8.2,0.0,500.463,CL
8.4,0.0,500.459,CL
8.6,0.0,500.454,CL
8.8,0.0,500.449,CL
9.0,0.0,500.445,CL
9.2,0.0,500.44,CL
9.4,0.0,500.435,CL
9.6,0.0,500.431,CL
9.8,0.0,500.426,CL
10.0,0.0,500.421,CL
10.2,0.0,500.417,CL
10.4,0.0,500.412,CL
10.6,0.0,500.407,CL
10.8,0.0,500.402,CL
11.0,0.0,500.397,CL
11.2,0.0,500.392,CL
11.4,0.0,500.388,CL
11.6,0.0,500.383,CL
11.8,0.0,500.378,CL
12.0,0.0,500.373,CL
12.2,0.0,500.368,CL
12.4,0.0,500.363,CL
12.6,0.0,500.358,CL
12.8,0.0,500.419,CL
13.0,0.0,500.414,CL
13.2,0.0,500.409,CL
13.4,0.0,500.404,CL
13.6,0.0,500.399,CL
13.8,0.0,500.394,CL
14.0,0.0,500.389,CL
14.2,0.0,500.384,CL
14.4,0.0,500.379,CL
14.6,0.0,500.373,CL
14.8,0.0,500.368,CL
15.0,0.0,500.363,CL
15.2,0.0,500.358,CL
15.4,0.0,500.353,CL
15.6,0.0,500.348,CL
15.8,0.0,500.343,CL
16.0,0.0,500.338,CL
16.2,0.0,500.333,CL
16.4,0.0,500.328,CL
16.6,0.0,500.323,CL
16.8,0.0,500.318,CL
17.0,0.0,500.313,CL
17.2,0.0,500.308,CL
17.4,0.0,500.303,CL
17.6,0.0,500.297,CL
17.8,0.0,500.292,CL
18.0,0.0,500.287,CL
18.2,0.0,500.282,CL
18.4,0.0,500.277,CL
18.6,0.0,500.352,CL
18.8,0.0,500.347,CL
19.0,0.0,500.342,CL
19.2,0.0,500.337,CL
19.4,0.0,500.332,CL
19.6,0.0,500.327,CL
19.8,0.0,500.322,CL
20.0,0.0,500.317,CL
20.2,0.0,500.312,CL
20.4,0.0,500.307,CL
20.6,0.0,500.302,CL
20.8,0.0,500.297,CL
21.0,0.0,500.292,CL
21.2,0.0,500.287,CL
21.4,0.0,500.282,CL
21.6,0.0,500.277,CL
21.8,0.0,500.272,CL
22.0,0.0,500.267,CL
22.2,0.0,500.262,CL
22.4,0.0,500.258,CL
22.6,0.0,500.253,CL
22.8,0.0,500.248,CL
23.0,0.0,500.243,CL
23.2,0.0,500.239,CL
23.4,0.0,500.234,CL
23.6,0.0,500.23,CL
23.8,0.0,500.225,CL
24.0,0.0,500.221,CL
24.2,0.0,500.216,CL
24.4,0.0,500.212,CL
24.6,0.0,500.207,CL
24.8,0.0,500.203,CL
25.0,0.0,500.199,CL
25.2,0.0,500.195,CL
25.4,0.0,500.191,CL
25.6,0.0,500.187,CL
25.8,0.0,500.183,CL
26.0,0.0,500.179,CL
26.2,0.0,500.175,CL
26.4,0.0,500.171,CL
26.6,0.0,500.167,CL
26.8,0.0,500.163,CL
27.0,0.0,500.159,CL
27.2,0.0,500.156,CL
27.4,0.0,500.152,CL
27.6,0.0,500.148,CL
27.8,0.0,500.144,CL
28.0,0.0,500.141,CL
28.2,0.0,500.137,CL
28.4,0.0,500.133,CL
28.6,0.0,500.13,CL
28.8,0.0,500.126,CL
29.0,0.0,500.122,CL
29.2,0.0,500.119,CL
29.4,0.0,500.115,CL
29.6,0.0,500.111,CL
29.8,0.0,500.107,CL
30.0,0.0,500.103,CL
30.2,0.0,500.099,CL
30.4,0.0,500.095,CL
30.6,0.0,500.091,CL
30.8,0.0,500.087,CL
31.0,0.0,500.083,CL
31.2,0.0,500.078,CL
31.4,0.0,500.074,CL
31.6,0.0,500.069,CL
31.8,0.0,500.065,CL
32.0,0.0,500.06,CL
32.2,0.0,500.055,CL
32.4,0.0,500.05,CL
32.6,0.0,500.045,CL
32.8,0.0,500.04,CL
33.0,0.0,500.035,CL
33.2,0.0,500.029,CL
33.4,0.0,500.024,CL
33.6,0.0,500.018,CL
33.8,0.0,500.012,CL
34.0,0.0,500.006,CL
34.2,0.0,500.0,CL
34.4,0.0,499.994,CL
34.6,0.0,499.988,CL
34.8,0.0,499.981,CL
35.0,0.0,499.898,CL
35.2,0.0,499.891,CL
35.4,0.0,499.884,CL
35.6,0.0,499.876,CL
35.8,0.0,499.869,CL
36.0,0.0,499.861,CL
36.2,0.0,499.853,CL
36.4,0.0,499.846,CL
36.6,0.0,499.837,CL
36.8,0.0,499.829,CL
37.0,0.0,499.821,CL
37.2,0.0,499.812,CL
37.4,0.0,499.803,CL
37.6,0.0,499.795,CL
37.8,0.0,499.786,CL
38.0,0.0,499.777,CL
38.2,0.0,499.767,CL
38.4,0.0,499.758,CL
38.6,0.0,499.748,CL
38.8,0.0,499.668,CL
39.0,0.0,499.658,CL
39.2,0.0,499.647,CL
39.4,0.0,499.636,CL
39.6,0.0,499.626,CL
39.8,0.0,499.615,CL
40.0,0.0,499.604,CL
40.2,0.0,499.593,CL
40.4,0.0,499.581,CL
40.6,0.0,499.57,CL
40.8,0.0,499.558,CL
41.0,0.0,499.547,CL
41.2,0.0,499.535,CL
41.4,0.0,499.46,CL
41.6,0.0,499.447,CL
41.8,0.0,499.434,CL
42.0,0.0,499.421,CL
42.2,0.0,499.408,CL
42.4,0.0,499.395,CL
42.6,0.0,499.382,CL
42.8,0.0,499.369,CL
43.0,0.0,499.355,CL
43.2,0.0,499.342,CL
43.4,0.0,499.328,CL
43.6,0.0,499.262,CL
43.8,0.0,499.247,CL
44.0,0.0,499.233,CL
44.2,0.0,499.218,CL
44.4,0.0,499.203,CL
44.6,0.0,499.189,CL
44.8,0.0,499.174,CL
45.0,0.0,499.159,CL
45.2,0.0,499.144,CL
45.4,0.0,499.129,CL
45.6,0.0,499.075,CL
45.8,0.0,499.059,CL
46.0,0.0,499.044,CL
46.2,0.0,499.028,CL
46.4,0.0,499.012,CL
46.6,0.0,498.996,CL
46.8,0.0,498.98,CL
47.0,0.0,498.964,CL
47.2,0.0,498.948,CL
47.4,0.0,498.911,CL
47.6,0.0,498.895,CL
47.8,0.0,498.879,CL
48.0,0.0,498.863,CL
48.2,0.0,498.846,CL
48.4,0.0,498.83,CL
48.6,0.0,498.814,CL
48.8,0.0,498.798,CL
49.0,0.0,498.782,CL
49.2,0.0,498.765,CL
49.4,0.0,498.749,CL
49.6,0.0,498.733,CL
49.8,0.0,498.717,CL
50.0,0.0,498.701,CL
50.2,0.0,498.685,CL
50.4,0.0,498.67,CL
50.6,0.0,498.654,CL
50.8,0.0,498.662,CL
51.0,0.0,498.647,CL
51.2,0.0,498.632,CL
51.4,0.0,498.616,CL
51.6,0.0,498.601,CL
51.8,0.0,498.586,CL
52.0,0.0,498.572,CL
52.2,0.0,498.557,CL
52.4,0.0,498.543,CL
52.6,0.0,498.528,CL
52.8,0.0,498.565,CL
53.0,0.0,498.552,CL
53.2,0.0,498.538,CL
53.4,0.0,498.525,CL
53.6,0.0,498.511,CL
53.8,0.0,498.498,CL
54.0,0.0,498.485,CL
54.2,0.0,498.473,CL
54.4,0.0,498.46,CL
54.6,0.0,498.448,CL
54.8,0.0,498.436,CL
55.0,0.0,498.424,CL
55.2,0.0,498.494,CL
55.4,0.0,498.483,CL
55.6,0.0,498.471,CL
55.8,0.0,498.46,CL
56.0,0.0,498.45,CL
56.2,0.0,498.439,CL
56.4,0.0,498.428,CL
56.6,0.0,498.418,CL
56.8,0.0,498.408,CL
57.0,0.0,498.398,CL
57.2,0.0,498.388,CL
57.4,0.0,498.378,CL
57.6,0.0,498.368,CL
57.8,0.0,498.359,CL
58.0,0.0,498.349,CL
58.2,0.0,498.34,CL
58.4,0.0,498.447,CL
58.6,0.0,498.438,CL
58.8,0.0,498.43,CL
59.0,0.0,498.421,CL
59.2,0.0,498.413,CL
59.4,0.0,498.404,CL
59.6,0.0,498.396,CL
59.8,0.0,498.388,CL
60.0,0.0,498.38,CL
60.2,0.0,498.372,CL
60.4,0.0,498.364,CL
60.6,0.0,498.356,CL
60.8,0.0,498.348,CL
