X,S,C
0.0,-1.273059280875921,-7.252144705480872e-05
-0.17323310631975014,-1.2732493539283922,-0.00021883488720298577
-0.34643144920956015,-1.2738231159160154,-0.00036411556330487506
-0.5195250741334353,-1.2747784977811294,-0.0005123094258662476
-0.6924446770956485,-1.2761242198580434,-0.0006575609032132908
-0.865119740544013,-1.2778540659191444,-0.0008080518972588308
-1.037481526761431,-1.2799837942212073,-0.0009552196682612419
-1.2094591247701336,-1.2825070920825,-0.0011017488760236326
-1.3809837735792398,-1.2854251488347932,-0.001267887394619294
-1.5519876174412506,-1.2887934805825147,-0.0014019984901152208
-1.7223939112757698,-1.2925309382425525,-0.0015766271737513112
-1.8921423408643006,-1.2967501374345884,-0.0017167261763393709
-2.061153770456089,-1.3013639188287591,-0.0018759280441886263
-2.2293667906509205,-1.3064291927710703,-0.0020710144257612903
-2.3967118092753483,-1.3120501423201603,-0.002186098157690127
-2.5631033603158455,-1.3180166782058376,-0.002401083317374409
-2.728495330302475,-1.3246097240110823,-0.0025341995450521896
-2.8927956921796194,-1.3316139339732753,-0.0027111418604016508
-3.055952479960716,-1.339159721084188,-0.0029435303760012976
-3.21789469753866,-1.347414591367548,-0.003049078800799824
-3.3785277106536915,-1.3560347939779973,-0.0032617028671595525
-3.5378168823640705,-1.3653353844422922,-0.003522893747532632
-3.695680455834158,-1.3754742570752378,-0.0035996934610878903
-3.8520174546420494,-1.3859361616071775,-0.003905813975111033
-4.00681119974007,-1.3974064870434852,-0.004043694376843241
-4.15994578398603,-1.4094144033503015,-0.004251785152353982
-4.311381662157001,-1.4221887704178748,-0.0045608332733787305
-4.461050937126604,-1.4360645399141498,-0.004693471638462929
-4.608845882157709,-1.4505349090368942,-0.004926278334375693
-4.754736188554832,-1.4659365112149936,-0.005197088630002642
-4.898651980567162,-1.4824277754979958,-0.005561142938412248
-5.040511108076811,-1.5003580441219873,-0.005597828952241079
-5.180198061094212,-1.5187113381343404,-0.005966393005029207
-5.3177310559404045,-1.538619752842029,-0.006368069778991438
-5.452999805008314,-1.5602757564285459,-0.006435257769168537
-5.585886951349263,-1.5826018743922092,-0.006812392946896827
-5.7164062970480565,-1.6067373676824053,-0.007139696571085004
-5.844457663935373,-1.6326061365697682,-0.007627962224600829
-5.969964519654657,-1.660918830724694,-0.0076306776217028366
-6.092797935112553,-1.6899686266533278,-0.0081414364932018
-6.213005749354081,-1.7218006291720016,-0.00865249659933547
-6.330460467149964,-1.7566239573373972,-0.008773823035686792
-6.445042541608013,-1.7930334987201684,-0.009230952439032606
-6.556768346879789,-1.832597644308968,-0.009681240660796207
-6.665546346092832,-1.8755560018781148,-0.01010830928603446
-6.771293791778078,-1.92210653816786,-0.010777705163864788
-6.873941436886889,-1.9737747596535664,-0.010797522609313485
-6.973352692504226,-2.027790402281839,-0.01150327667979708
-7.069592734065489,-2.088001547593642,-0.012012079460748044
-7.162526266412316,-2.154042870750535,-0.012758194681170348
-7.252083980656314,-2.228035273268411,-0.012916327326337573
-7.3381377501895155,-2.3073572135437894,-0.01363579161002904
-7.4207277340686755,-2.3963954563115246,-0.014277874556232863
-7.499746115555285,-2.4960847266052437,-0.014908744435361419
-7.5751142548954835,-2.608056655577104,-0.015567249831112847
-7.646763801689464,-2.734662153232336,-0.016530388100605718
-7.714626541272594,-2.881462502221156,-0.016696710711774254
-7.778569286814419,-3.044655640812537,-0.017707280591045448
-7.838653808269052,-3.2368921963392427,-0.018491958625481184
-7.8947498691867946,-3.462673315186001,-0.019298802974621977
-7.946787965462912,-3.731354949123814,-0.020136089628771905
-7.994700686959398,-4.056305021016111,-0.021003425370895237
-8.038420812026152,-4.457095421233013,-0.022192359047741323
-8.07788131722592,-4.971078772919487,-0.022519743332044068
-8.112958220739817,-5.623212929423792,-0.023773804124116463
-8.143701645435227,-6.518594839960771,-0.02474872633099963
-8.169985904430721,-7.802331834911474,-0.02574388840693808
-8.191744789755495,-9.796205096598285,-0.026755766357345112
-8.208912418833089,-13.313276039677644,-0.02777958618990096
-8.221423170599675,-21.174020253616256,-0.028809659044334517
-8.229211696992383,-54.3920705723625,-0.02983934079110346
-8.232212934680554,87.28379593666985,-0.030861018008792138
-8.230362117047168,23.616835575580033,-0.03186612849846912
-8.223594786427253,13.455344981611569,-0.03301427361286762
-8.211846806576833,9.292789722238277,-0.03359795660020679
-8.19502863964386,7.055492763569943,-0.034678073559348536
-8.173131462899796,5.640243818463158,-0.035520441958808206
-8.146064102404752,4.668924121281678,-0.03628842570896145
-8.113763112852446,3.9611890427748726,-0.03697569088286394
-8.076166153286938,3.422658918078841,-0.0375716943743843
-8.033211283907999,2.999204911238635,-0.03808445601979163
-7.984836980249066,2.657416837148616,-0.038465860965096646
-7.930979611278613,2.375943595474687,-0.038723265557774694
-7.871579178441307,2.1401953225901815,-0.03887296339081489
-7.8065773290135985,1.9398353967547906,-0.038899733813371466
-7.735914354257587,1.767476560773648,-0.038803339885701095
-7.659531035012731,1.617652919227668,-0.03880656028506628
-7.577368657170678,1.4855253615209976,-0.038059662995213184
-7.489335229611781,1.3699545833975941,-0.03780564026362851
-7.3954361637637565,1.2665048220707953,-0.0372577961905191
-7.295585096724052,1.173815109883479,-0.03661662913021899
-7.189725502083328,1.0902988506225186,-0.03589252052910679
-7.077801438848098,1.014666329105372,-0.03509650176246965
-6.959757568054853,0.945858384670722,-0.034239890363153724
-6.835539169571833,0.8829971054051734,-0.03333395767181556
-6.705092159061533,0.8253486565783383,-0.03238964174236223
-6.568363105109246,0.7722948965256154,-0.031801673007697304
-6.425299246511597,0.7227261624873488,-0.030060070817529042
-6.275767587310877,0.6779245503070905,-0.029425043030039857
-6.1198746894693254,0.6358043510528163,-0.028422914473195626
-5.957493004133521,0.5965896580712818,-0.027425837315629625
-5.788572635159957,0.5599920703829265,-0.02643970158258409
-5.613064445073722,0.5257599772547065,-0.02585138096153995
-5.43092007313801,0.49319798202936754,-0.024147845993875993
-5.241986641484945,0.4635239511934801,-0.02359130993694877
-5.046424986185894,0.4351687507076641,-0.022690304020618002
-4.844087066856551,0.40844086899944504,-0.021817108006419596
-4.6349278199873645,0.38320501753675984,-0.021316995565116553
-4.418903050411298,0.3589521472442322,-0.01982076867312947
-4.195848790422189,0.33673271400726384,-0.019374985908388497
-3.9659619275076716,0.3152979814644655,-0.018936111070769056
-3.7290825486823493,0.29460047911185727,-0.017589356914556542
-3.485042744251957,0.2755811452560387,-0.017207535085144547
-3.2340564402693763,0.25715235617203647,-0.016545136853114564
-2.975959152865176,0.2395862676857367,-0.01617901622080855
-2.7107132988001315,0.222543127092945,-0.015039048662834243
-2.4381507227916392,0.20681073054318416,-0.014970819198055204
-2.158498866471298,0.19124662489883745,-0.013930591292667846
-1.871460339256327,0.17684395804418723,-0.01364751545582175
-1.5772657220099964,0.16280264977928582,-0.013352264609037734
-1.275750749909358,0.14912540592385393,-0.012455065350488733
-0.9667551114791406,0.13641630827975026,-0.012390511620454776
-0.6505083257170696,0.1238158698417225,-0.011583585317390198
-0.3267261395069907,0.11207102340045516,-0.011353383834533996
0.004366926849592723,0.10058915805616792,-0.011105927117054845
0.342924324565808,0.08938291734130914,-0.010423278950517962
0.6890881036152106,0.0788857632812369,-0.010342619070581979
1.0426460980363306,0.06848689596137209,-0.009853350137412011
1.403849106053376,0.05859368514451339,-0.00941930745209192
1.7726008032126126,0.0491469735081704,-0.009319670171781516
2.148824126556228,0.03980879920827051,-0.008823769161384632
2.5327363887877503,0.03097392074178086,-0.008711830179467061
2.9241671448615385,0.022255864493864127,-0.008345762618420578
3.323308448158623,0.013907324867807774,-0.008028350135393575
3.730082500405509,0.005878145914458751,-0.00789466629863454
4.14443977311738,-0.002016590818106049,-0.007591835797114711
4.566525446206185,-0.009608719581584513,-0.007333149057197472
4.996278515542172,-0.01694319396414481,-0.007178307197485514
5.433670934049616,-0.02412455862148384,-0.006930889846801056
5.87879400579633,-0.031060753036433103,-0.006728860002325476
6.331606974858026,-0.0377976145474341,-0.006529638477436694
6.792114495020791,-0.044338288882268186,-0.006346595942542719
7.260311549369781,-0.05069923685335475,-0.006171344085082917
7.736203528538473,-0.05688845891138644,-0.00599948991437219
8.219795263980425,-0.06290949218488778,-0.005834432633497635
8.71108441952093,-0.06876923244941437,-0.005675835821289896
9.210067075784453,-0.07447419851601517,-0.005523381362409401
9.716737717236455,-0.08003055690411151,-0.0053767684245671545
10.23108921970443,-0.0854441446055835,-0.005235712485481957
10.753112838393244,-0.09072049011092974,-0.0050999444097586276
11.28279819640909,-0.09586483285132268,-0.004969209573504737
11.820133273806876,-0.10088214119468458,-0.004843267036053887
12.36510439717524,-0.1057771291203791,-0.00472188875815075
12.917696229773014,-0.11055427168561623,-0.004604858862956519
13.477891762231145,-0.115217819384716,-0.004491972940203113
14.045672303833348,-0.11977181149392696,-0.004383037390302253
14.621017474388786,-0.12422008848488197,-0.004277868806830138
15.203905196709476,-0.12856630358299626,-0.004176293395189175
15.794311689705324,-0.13281393353878118,-0.004078146426917078
16.392211462108147,-0.13696628867575175,-0.003983271725264481
16.99757730683772,-0.14102652227096263,-0.003891521182841578
17.61038029601986,-0.14499763932065454,-0.003802754307710346
18.23058977666866,-0.14888250473813322,-0.0037168377979315144
18.858173367042703,-0.1526838510276413,-0.0036336451402734977
19.493096953686067,-0.15640428547280485,-0.0035530562350658203
20.13532468916325,-0.16004629687704702,-0.0034749570427461585
20.78481899049722,-0.16361226188823455,-0.00339923925212978
21.441540538320098,-0.16710445093829662,-0.003325799969295314
22.10544827674316,-0.17052503382612877,-0.003254541424113349
22.776499413956373,-0.17387608496807672,-0.0031853706964091264
23.454649423560987,-0.17715958834152618,-0.003118199456656528
24.13985204664614,-0.18037744214141102,-0.0030529437239930055
24.832059294611653,-0.18353146317063043,-0.0029895236375447006
25.531221452744933,-0.18662339098267416,-0.0029278632419537237
26.237287084556332,-0.1896548917928655,-0.002867890285864965
26.950203036876452,-0.19262756217454693,-0.0028095360319798394
27.669914445720472,-0.19554293255420926,-0.0027527350787726135
28.39636474292159,-0.1984024705189579,-0.0026974251923181807
29.12949566353641,-0.2012075839488971,-0.0026435471482276676
29.86924725402389,-0.20395962398564785,-0.0025910445827279946
30.615557881199805,-0.20665988784768918,-0.0025398638522747376
31.368364241966624,-0.20930962150187252,-0.002489953902010442
32.12760137381755,-0.2119100222015223,-0.0024412661400611325
